Accident_Severity	Day_of_Week	Light_Conditions	Weather_Conditions	Road_Surface_Conditions
slight	Fri	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
serious	Thu	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Wed	Night+lit	Rain+hw	Flood
slight	Sun	Day	Rain	Wet
serious	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Sun	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
serious	Mon	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
serious	Mon	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Night+unlit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
serious	Tue	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Fri	Day	Rain	Wet
serious	Fri	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
serious	Sun	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+unlit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
serious	Mon	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
serious	Wed	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Night+unlit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Night+lit	Rain+hw	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain+hw	Wet
slight	Fri	Day	Rain	Wet
serious	Sun	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
serious	Sun	Night+lit	Rain+hw	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
serious	Mon	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
serious	Mon	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Mon	Day	Rain+hw	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Tue	Night+unlit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
serious	Mon	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
serious	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sun	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
serious	Thu	Day	Rain	Wet
slight	Fri	Night+lit	Rain+hw	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain+hw	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
serious	Fri	Night+lit	Rain+hw	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Fri	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
serious	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sun	Day	Rain+hw	Wet
slight	Sat	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Sun	Day	Rain	Wet
serious	Mon	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
serious	Wed	Day	Rain	Wet
serious	Thu	Night+lit	Rain+hw	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+unlit	Rain	Wet
serious	Mon	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
serious	Tue	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Mon	Night+unlit	Rain	Wet
serious	Sun	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
serious	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Sun	Night+lit	Rain+hw	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
serious	Tue	Day	Rain	Wet
slight	Sun	Day	Rain+hw	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain+hw	Wet
slight	Fri	Night+lit	Rain	Wet
serious	Sun	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain+hw	Wet
serious	Thu	Day	Rain	Wet
serious	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
serious	Sun	Day	Rain	Wet
serious	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
serious	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Sun	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
serious	Sun	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Day	Rain+hw	Flood
serious	Wed	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Wed	Night+lit	Rain+hw	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Day	Rain+hw	Wet
serious	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Sun	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Mon	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Fri	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Sat	Day	Rain	Wet
slight	Sun	Night+lit	Rain	Wet
slight	Tue	Day	Rain	Wet
slight	Sun	Night+lit	Rain+hw	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
serious	Tue	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
serious	Fri	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
serious	Sun	Night+lit	Rain	Wet
slight	Fri	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Wed	Day	Rain	Wet
slight	Sat	Night+lit	Rain	Wet
slight	Sat	Night+lit	Rain+hw	Wet
slight	Wed	Day	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
slight	Mon	Day	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Night+lit	Rain	Wet
slight	Thu	Day	Rain	Wet
slight	Tue	Night+lit	Rain	Wet
slight	Wed	Night+lit	Rain	Wet
